"cmid","archiveid","courseid","contextid","coursevisible","cmvisible","courseshortname","coursename","archivename"
"160","52","53","310","1","1","UCKK-AS252","Agitation institutionnelle et mesure de lÔÇÖutilit├® r├®elle","Archive du cours"
"14","3","4","164","1","1","UCKK-TC103","Agitation institutionnelle et mesure de lÔÇÖutilit├® r├®elle","Archive du tronc commun"
"326","110","111","476","1","1","UCKK-IS203","Agitation institutionnelle et utilit├® r├®elle","Archive du cours"
"56","17","18","206","1","1","UCKK-GJS107","Architecture dÔÇÖopportunit├®s","Archive du cours"
"239","80","81","389","1","1","UCKK-ME306","Architecture de la r├®sonance : intuition, motifs et discernement","Archive du cours"
"115","37","38","265","1","1","UCKK-KOA303","Archives vivantes, post-mortems et mise ├á jour du canon","Archive du cours"
"35","10","11","185","1","1","UCKK-TC110","Assembl├®es, d├®lib├®ration et m├®moire collective","Archive du tronc commun"
"178","58","59","328","1","1","UCKK-SP206","Assembl├®es, r├¿gles et d├®cisions collectives","Archive du cours"
"301","101","102","451","1","1","UCKK-IA307","Atelier de conception dÔÇÖoutil IA","Archive du cours"
"277","93","94","427","1","1","UCKK-IA207","Automatisation sans domination","Archive du cours"
"157","51","52","307","1","1","UCKK-AS251","Boucles de r├®troaction clinique et apprentissage institutionnel","Archive du cours"
"320","108","109","470","1","1","UCKK-IS201","Boucles de r├®troaction clinique et apprentissage institutionnel","Archive du cours"
"200","66","67","350","1","1","UCKK-EC202","Capitalisme, extraction et contre-pouvoirs","Archive du s├®minaire"
"259","87","88","409","1","1","UCKK-IA201","Cartographie des id├®es avec lÔÇÖIA","Archive du cours"
"8","1","2","158","1","1","UCKK-TC101","Cartographie des id├®es avec lÔÇÖIA","Archive du tronc commun"
"38","11","12","188","1","1","UCKK-GJS101","Cartographie du Grand Jeu","Archive du cours"
"58","18","19","208","1","1","UCKK-GJS108","Changer les r├¿gles","Archive du s├®minaire"
"218","72","73","368","1","1","UCKK-ECO204","Communaut├®s et r├®silience","Archive du cours"
"215","71","72","365","1","1","UCKK-ECO203","Crises environnementales","Archive du cours"
"32","9","10","182","1","1","UCKK-TC109","D├®fis publics et th├®├ótre responsable","Archive du tronc commun"
"133","43","44","283","1","1","UCKK-KOA309","D├®ploiement local-global : du pilote communautaire au r├®seau f├®d├®r├®","Archive du cours"
"130","42","43","280","1","1","UCKK-KOA308","Design dÔÇÖun ├®cosyst├¿me de syst├¿mes","Archive du cours"
"148","48","49","298","1","1","UCKK-AS204","D├®veloppement doc-first avec IA","Archive du cours"
"265","89","90","415","1","1","UCKK-IA203","D├®veloppement doc-first avec IA","Archive du cours"
"256","86","87","406","1","1","UCKK-IA105","Donn├®es, mod├¿les, biais et hallucinations","Archive du cours"
"195","64","65","345","1","1","UCKK-SP399","Dossier de passage : r├®forme du Grand Jeu politique","Archive du cours"
"304","102","103","454","1","1","UCKK-IA399","Dossier de passage : workflow ou outil dÔÇÖIA gouvernable","Archive du cours"
"224","74","75","374","1","1","UCKK-ECO206","├ëcologie politique","Archive du cours"
"209","69","70","359","1","1","UCKK-ECO201","├ëcologie syst├®mique","Archive du cours"
"151","49","50","301","1","1","UCKK-AS205","├ëcosyst├¿me num├®rique kOA : de la connaissance ├á lÔÇÖaction","Archive du cours"
"206","68","69","356","1","1","UCKK-EC251","├ëducation ouverte, certification et l├®gitimit├® sociale","Archive du cours"
"323","109","110","473","1","1","UCKK-IS202","├ëducation ouverte, certification et l├®gitimit├® sociale","Archive du cours"
"94","30","31","244","1","1","UCKK-KOA207","EkoH : expertise, ├®thique et cr├®dibilit├® situ├®e","Archive du cours"
"221","73","74","371","1","1","UCKK-ECO205","├ënergie, alimentation et infrastructures","Archive du cours"
"47","14","15","197","1","1","UCKK-GJS104","Enqu├¬te inquisitoriale","Archive du cours"
"91","29","30","241","1","1","UCKK-KOA206","ethiKos : d├®lib├®ration structur├®e et d├®cision civique","Archive du cours"
"29","8","9","179","1","1","UCKK-TC108","├ëthique, int├®grit├® et Inquisiteur m├®thodologique","Archive du tronc commun"
"312","105","106","462","1","1","UCKK-LI203","Fiction fondatrice et v├®rit├® morale","Archive du cours"
"232","77","78","382","1","1","UCKK-ME202","Fiction fondatrice, v├®rit├® morale et r├®cits symboliques","Archive du cours"
"331","112","113","481","1","1","UCKK-MV202","Fiction fondatrice, v├®rit├® morale et r├®cits symboliques","Archive du cours"
"20","5","6","170","1","1","UCKK-TC105","Fiction fondatrice, v├®rit├® morale et r├®cits symboliques","Archive du tronc commun"
"244","82","83","394","1","1","UCKK-IA101","Fondements de lÔÇÖintelligence artificielle","Archive du cours"
"189","62","63","339","1","1","UCKK-SP253","Gouvernance des plateformes","Archive du cours"
"236","79","80","386","1","1","UCKK-ME204","Grammaires symboliques : Sephiroth, ¤Ç et architecture kOA","Archive du s├®minaire"
"309","104","105","459","1","1","UCKK-LI202","Grammaires symboliques : Sephiroth, ¤Ç et architecture kOA","Archive du s├®minaire"
"274","92","93","424","1","1","UCKK-IA206","Graphes de connaissance, s├®mantique et IA","Archive du cours"
"172","56","57","322","1","1","UCKK-SP204","Guerre, gouvernance et diplomatie dÔÇÖex├®cution","Archive du cours"
"315","106","107","465","1","1","UCKK-LI204","Histoire des r├®seaux de connaissance : parole, ├®criture, web et s├®mantique","Archive du cours"
"73","23","24","223","1","1","UCKK-KOA105","IA comme outil dÔÇÖanalyse, jamais comme autorit├® finale","Archive du cours"
"289","97","98","439","1","1","UCKK-IA303","IA dans le kOA Digital Ecosystem","Archive du cours"
"283","95","96","433","1","1","UCKK-IA301","IA et gouvernance des d├®cisions","Archive du cours"
"295","99","100","445","1","1","UCKK-IA305","IA et m├®dias vivants","Archive du cours"
"247","83","84","397","1","1","UCKK-IA102","IA et soci├®t├®","Archive du cours"
"203","67","68","353","1","1","UCKK-EC203","IA, erreurs, emploi et moyens de production","Archive du cours"
"262","88","89","412","1","1","UCKK-IA202","IA, erreurs, emploi et moyens de production","Archive du cours"
"286","96","97","436","1","1","UCKK-IA302","IA, Smart Vote, EkoH et lectures multiples","Archive du cours"
"298","100","101","448","1","1","UCKK-IA306","IA, traduction et souverainet├® s├®mantique","Archive du cours"
